0,1,2,3,评论总数,歌手所在
林宥嘉,我是一只鱼 (Live),https://music.163.com/song?id=34916139,《跨年演唱会2012-2013 华语篇2》,1090,港台
林宥嘉,你把我灌醉 (Live),https://music.163.com/song?id=34916137,《超级星光大道 第一届》,569,港台
林宥嘉,吻得太逼真/酷爱(Live),https://music.163.com/song?id=5240868,《哭了.K歌之王》,3334,港台
林宥嘉,林宥嘉,https://music.163.com/song?id=472117541,《如同悲伤被下载了两次》,36226,港台
林宥嘉,开到荼蘼 (Live),https://music.163.com/song?id=406924268,《超级星光大道 第一届》,1245,港台
林宥嘉,到不了 (Live),https://music.163.com/song?id=34916132,《903id club 拉阔音乐会》,277,港台
林宥嘉,哭了.K歌之王(live版),https://music.163.com/song?id=28306728,《超级星光大道 第一届》,2573,港台
林宥嘉,如同悲伤被下载了两次,https://music.163.com/song?id=34179838,《脚趾上的星光 电影原声带》,6493,港台
林宥嘉,悬崖 (Live),https://music.163.com/song?id=34916140,《 热门华语136》,696,港台
张学友,遥远的她,https://music.163.com/song?id=487154152,《环球巨星影音启示录 张学友》,2698,港台
张学友,只想一生跟你走,https://music.163.com/song?id=189987,《一生跟你走 年度代表作品辑》,30655,港台
张学友,如果这都不算爱,https://music.163.com/song?id=188432,《学友 热》,28723,港台
张学友,她来听我的演唱会,https://music.163.com/song?id=188647,《友情歌 1995-2000世纪情歌金选》,47907,港台
张学友,慢慢,https://music.163.com/song?id=189315,《忘记你我做不到》,44873,港台
张学友,吻别,https://music.163.com/song?id=1895553581,《那些追梦时翻唱过的歌 Vol.2》,59,港台
张学友,饿狼传说,https://music.163.com/song?id=190270,《饿狼传说》,22512,港台
张学友,一千个伤心的理由,https://music.163.com/song?id=1882292511,《數字的秘密》,162,港台
张学友,李香兰,https://music.163.com/song?id=32688998,《环球DSD视听之王》,3661,港台
张学友,等你等到我心痛,https://music.163.com/song?id=190360,《等你等到我心痛 张学友精选》,18588,港台
张学友,一路上有你,https://music.163.com/song?id=190458,《吻别》,1868,港台
张学友,每天爱你多一些,https://music.163.com/song?id=1891383358,《治愈系情歌精選》,55,港台
张学友,情书,https://music.163.com/song?id=188674,《友情歌 1995-2000世纪情歌金选》,27155,港台
张学友,忘情冷雨夜,https://music.163.com/song?id=32689000,《环球DSD视听之王》,4585,港台
张学友,回头太难,https://music.163.com/song?id=189072,《友情歌岁月精选》,16366,港台
张学友,你最珍贵,https://music.163.com/song?id=188657,《友情歌 1995-2000世纪情歌金选》,13080,港台
张学友,旧情绵绵,https://music.163.com/song?id=189714,《三年两语》,9766,港台
张学友,夕阳醉了,https://music.163.com/song?id=190808,《只愿一生爱一人》,9502,港台
张学友,烦恼歌,https://music.163.com/song?id=187672,《在你身边》,43504,港台
张学友,我等到花儿也谢了,https://music.163.com/song?id=189873,《真爱 新曲 + 真正精选》,6636,港台
Lady Gaga,Winter Wonderland,https://music.163.com/song?id=1897275279,《2021 巨星聖誕》,12,欧美
Lady Gaga,Winter Wonderland,https://music.163.com/song?id=1896980198,《Low Key Holiday》,6,欧美
Lady Gaga,Just Dance,https://music.163.com/song?id=1897271403,《New Year's Anthem》,3,欧美
Lady Gaga,Poker Face,https://music.163.com/song?id=21038748,《Poker Face》,61157,欧美
Lady Gaga,Bad Romance,https://music.163.com/song?id=1896117986,《The Best New Year's Party Album In The World...Ever!》,19,欧美
Lady Gaga,Always Remember Us This Way,https://music.163.com/song?id=1315441719,《A Star Is Born Soundtrack》,15795,欧美
Lady Gaga,Telephone,https://music.163.com/song?id=1894277634,《00s Pop Party》,23,欧美
Lady Gaga,Paparazzi,https://music.163.com/song?id=21038711,《Paparazzi》,6733,欧美
Lady Gaga,The Cure,https://music.163.com/song?id=472045959,《The Cure》,166207,欧美
Lady Gaga,Monster,https://music.163.com/song?id=1890386404,《Halloween Party》,58,欧美
Lady Gaga,Shallow,https://music.163.com/song?id=1341919992,《2019 GRAMMY® Nominees》,957,欧美
Lady Gaga,Bad Romance,https://music.163.com/song?id=21038465,《The Fame Monster》,4042,欧美
Lady Gaga,Million Reasons,https://music.163.com/song?id=1896119684,《Sad Fall Mix》,26,欧美
Lady Gaga,Judas,https://music.163.com/song?id=21038634,《Judas》,3950,欧美
Lady Gaga,You and I,https://music.163.com/song?id=26611126,《Now That's What I Call Love Songs》,834,欧美
Lady Gaga,Applause,https://music.163.com/song?id=27977949,"《Now That's What I Call Music!, Vol. 48》",330,欧美
Lady Gaga,Christmas Tree,https://music.163.com/song?id=1897275176,《Weihnachten Pop/Rock》,14,欧美
Lady Gaga,Rain On Me,https://music.163.com/song?id=1449991947,《Rain On Me》,29068,欧美
Lady Gaga,Sour Candy,https://music.163.com/song?id=1451492235,《Chromatica》,81323,欧美
Lady Gaga,Boys Boys Boys,https://music.163.com/song?id=2923508,《The Fame (Japanese Edition)》,1944,欧美
Adele,Someone Like You,https://music.163.com/song?id=16435049,《Someone Like You》,98086,欧美
Adele,Hello,https://music.163.com/song?id=35847388,《Hello》,105021,欧美
Adele,Easy On Me,https://music.163.com/song?id=1887190390,《30》,31690,欧美
Adele,Rolling In The Deep,https://music.163.com/song?id=16435051,《Rolling In The Deep》,42310,欧美
Adele,Skyfall (Full Length),https://music.163.com/song?id=16435064,《Skyfall (Full Length)》,7326,欧美
Adele,Make You Feel My Love,https://music.163.com/song?id=16435050,《Make You Feel My Love》,11652,欧美
Adele,When We Were Young,https://music.163.com/song?id=402073823,《When We Were Young》,16233,欧美
Adele,Set Fire to the Rain,https://music.163.com/song?id=2117009,《21》,17452,欧美
Adele,Million Years Ago,https://music.163.com/song?id=36871368,《25》,21289,欧美
Adele,I Miss You,https://music.163.com/song?id=36841429,《25》,2387,欧美
Adele,Love In The Dark,https://music.163.com/song?id=36841427,《25》,6848,欧美
Adele,Don't You Remember,https://music.163.com/song?id=2117005,《21》,6554,欧美
Adele,Chasing Pavements,https://music.163.com/song?id=2117228,《Chasing Pavements》,8417,欧美
Adele,I Drink Wine,https://music.163.com/song?id=1892652689,《30》,1711,欧美
Adele,All I Ask,https://music.163.com/song?id=36841428,《25》,10078,欧美
Adele,Send My Love (To Your New Lover),https://music.163.com/song?id=410846246,《Send My Love (To Your New Lover)》,12289,欧美
Adele,Rolling in the Deep,https://music.163.com/song?id=2116996,《21》,3707,欧美
Adele,Hello,https://music.163.com/song?id=36841430,《25》,5292,欧美
Adele,Remedy,https://music.163.com/song?id=36871366,《25》,2834,欧美
Adele,One and Only,https://music.163.com/song?id=2117024,《21》,4761,欧美
Jony J,山脚,https://music.163.com/song?id=1886366521,《24時·Am》,9494,欧美
Jony J,没你也能活下去,https://music.163.com/song?id=1886371885,《24時·Am》,9668,欧美
Jony J,不用去猜,https://music.163.com/song?id=490595927,《不用去猜》,102889,欧美
Jony J,信仰,https://music.163.com/song?id=31260611,《J HOOD Mixtape》,37522,欧美
Jony J,奴隶,https://music.163.com/song?id=534542490,《奴隶》,43532,欧美
Jony J,顽家,https://music.163.com/song?id=1488796175,《顽家》,17197,欧美
Jony J,少数派报告,https://music.163.com/song?id=1844152730,《Tizzy T》,4085,欧美
Jony J,Lost ,https://music.163.com/song?id=479979029,《Almost Perfect》,17368,欧美
Jony J,喜新恋旧,https://music.163.com/song?id=1325711347,《喜新恋旧》,23297,欧美
Jony J,还可以,https://music.163.com/song?id=1886371882,《24時·Am》,4800,欧美
Jony J,想把你留在这里,https://music.163.com/song?id=1303273422,《夜行动物园》,1229,欧美
Jony J,My Man,https://music.163.com/song?id=1325896303,《喜新恋旧》,29592,欧美
Jony J,盆栽,https://music.163.com/song?id=1886366519,《24時·Am》,2457,欧美
Jony J,欢迎光临,https://music.163.com/song?id=1805842261,《24時·Am》,13160,欧美
Jony J,周润发,https://music.163.com/song?id=1886371881,《24時·Am》,10839,欧美
Jony J,Intro,https://music.163.com/song?id=449818591,《物女金》,3523,欧美
Jony J,忘了没,https://music.163.com/song?id=1886371887,《24時·Am》,3657,欧美
Jony J,暗巷,https://music.163.com/song?id=1886366505,《24時·Am》,4160,欧美
Jony J,住你耳朵里,https://music.163.com/song?id=419374860,《住你耳朵里》,13823,欧美
Jony J,28,https://music.163.com/song?id=1325898283,《喜新恋旧》,6846,欧美
李宗盛,给自己的歌,https://music.163.com/song?id=394670,《南下专线》,45564,港台
李宗盛,鬼迷心窍,https://music.163.com/song?id=108589,《作品李宗盛》,1934,港台
李宗盛,当爱已成往事,https://music.163.com/song?id=108370,《爱情论》,9778,港台
李宗盛,山丘 (Live),https://music.163.com/song?id=407002091,《跨年演唱会2013-2014 华语篇》,44341,港台
李宗盛,漂洋过海来看你,https://music.163.com/song?id=29775419,《热门华语252》,5289,港台
李宗盛,问 (现场版),https://music.163.com/song?id=34248479,《热门华语280》,4734,港台
李宗盛,我终于失去了你 (Live),https://music.163.com/song?id=108139,《理性与感性 作品音乐会》,6435,港台
李宗盛,爱的代价,https://music.163.com/song?id=108299,《爱情论》,25850,港台
李宗盛,凡人歌,https://music.163.com/song?id=108587,《作品李宗盛》,1343,港台
李宗盛,我是真的爱你,https://music.163.com/song?id=108303,《爱情论》,10821,港台
李宗盛,当爱已成往事,https://music.163.com/song?id=196753,《霸王别姬 电影原声带》,950,港台
李宗盛,领悟 (Live),https://music.163.com/song?id=108147,《理性与感性 作品音乐会》,1815,港台
李宗盛,再回首,https://music.163.com/song?id=108475,《滚石香港黄金十年 李宗盛精选》,3014,港台
李宗盛,阴天 (Live),https://music.163.com/song?id=108149,《理性与感性 作品音乐会》,1445,港台
李宗盛,爱如潮水 Solo,https://music.163.com/song?id=1804603902,《Guitar solo》,102,港台
李宗盛,寂寞难耐,https://music.163.com/song?id=109014,《生命中的精灵》,5813,港台
李宗盛,鬼迷心窍,https://music.163.com/song?id=108500,《滚石香港黄金十年 李宗盛精选》,1009,港台
李宗盛,听见有人叫你宝贝,https://music.163.com/song?id=108331,《爱情论》,3726,港台
李宗盛,爱的代价,https://music.163.com/song?id=108456,《滚石香港黄金十年 李宗盛精选》,802,港台
李宗盛,给所有单身女子,https://music.163.com/song?id=108967,《1984-1989 李宗盛作品集》,1535,港台
周华健,,https://music.163.com/song?id=186624,《生·生活》,12354,大陆
周华健,,https://music.163.com/song?id=555984413,《Keep Wakin 1987-2002 周而复始》,17877,大陆
周华健,,https://music.163.com/song?id=5271858,《让我欢喜让我忧》,55700,大陆
周华健,,https://music.163.com/song?id=187134,《忘忧草》,12513,大陆
周华健,难念的经,https://music.163.com/song?id=187215,《花·心》,4319,大陆
周华健,刀剑如梦,https://music.163.com/song?id=186315,《风雨无阻》,5494,大陆
周华健,让我欢喜让我忧,https://music.163.com/song?id=188051,《天下大乱 花木兰之杨佩佩大战金庸 戏剧主题曲全纪录》,6040,大陆
周华健,有没有一首歌会让你想起我,https://music.163.com/song?id=186624,《两岸三地电视剧主题曲大比拼》,12354,大陆
周华健,花·心,https://music.163.com/song?id=187968,《花·心》,17059,大陆
周华健,风雨无阻,https://music.163.com/song?id=187797,《朋友》,5993,大陆
周华健,天下有情人,https://music.163.com/song?id=4878604,《热门华语252》,5748,大陆
周华健,神话·情话,https://music.163.com/song?id=555984413,《爱相随》,17877,大陆
周华健,孤枕难眠,https://music.163.com/song?id=187963,《忘忧草》,2200,大陆
周华健,朋友,https://music.163.com/song?id=187134,《光阴似健 1987-1997》,12513,大陆
周华健,漂洋过海来看你,https://music.163.com/song?id=29775419,《电视剧歌曲大全》,5289,大陆
周华健,爱相随,https://music.163.com/song?id=187582,《雨人》,1924,大陆
周华健,忘忧草,https://music.163.com/song?id=186620,《不愿一个人》,5022,大陆
周华健,其实不想走,https://music.163.com/song?id=187045,《滚石香港黄金十年 周华健精选》,2038,大陆
周华健,难念的经,https://music.163.com/song?id=5271858,《雨人》,55700,大陆
周华健,江湖笑,https://music.163.com/song?id=186272,《滚石香港黄金十年 周华健精选》,9942,大陆
杨千嬅,少女的祈祷,https://music.163.com/song?id=29593497,《Kiss Me Soft avep1》,48258,港台
杨千嬅,野孩子,https://music.163.com/song?id=316486,《千嬅盛放》,42094,港台
杨千嬅,可惜我是水瓶座,https://music.163.com/song?id=316654,《Simply Me》,132557,港台
杨千嬅,处处吻,https://music.163.com/song?id=316686,《Simply Me》,112775,港台
杨千嬅,再见二丁目,https://music.163.com/song?id=316938,《Miriam's Melodies》,45531,港台
杨千嬅,小城大事,https://music.163.com/song?id=316756,《电光幻影》,28009,港台
杨千嬅,勇,https://music.163.com/song?id=316498,《千嬅盛放》,35750,港台
杨千嬅,处处吻,https://music.163.com/song?id=1360515268,《大男人真女人》,411,港台
杨千嬅,杨千嬅,https://music.163.com/song?id=316639,《Simply Me》,3540,港台
杨千嬅,假如让我说下去,https://music.163.com/song?id=316637,《Simply Me》,24880,港台
杨千嬅,花好月圆夜,https://music.163.com/song?id=5265772,《爱唱主题曲》,9006,港台
杨千嬅,一生中最爱,https://music.163.com/song?id=316899,《一生中最爱》,373,港台
杨千嬅,烈女,https://music.163.com/song?id=316691,《Simply Me》,6100,港台
杨千嬅,稀客,https://music.163.com/song?id=316510,《千嬅盛放》,11688,港台
杨千嬅,少女的祈祷,https://music.163.com/song?id=316478,《千嬅盛放》,1142,港台
杨千嬅,人情世故,https://music.163.com/song?id=26034827,《Meridian》,7284,港台
杨千嬅,飞女正传,https://music.163.com/song?id=316509,《千嬅盛放》,6462,港台
杨千嬅,笑中有泪,https://music.163.com/song?id=316656,《Simply Me》,1925,港台
杨千嬅,最好的债,https://music.163.com/song?id=29953039,《最好的债》,1020,港台
杨千嬅,可惜我是水瓶座,https://music.163.com/song?id=316504,《千嬅盛放》,6576,港台
薛之谦,我好像在哪见过你,https://music.163.com/song?id=417859631,《尘》,300267,大陆
薛之谦,演员,https://music.163.com/song?id=32507038,《绅士》,294211,大陆
薛之谦,耗尽,https://music.163.com/song?id=1498342485,《初学者》,151522,大陆
薛之谦,天外来物,https://music.163.com/song?id=1463165983,《天外来物》,459438,大陆
薛之谦,陪你去流浪,https://music.163.com/song?id=1374056689,《初学者》,181044,大陆
薛之谦,演员,https://music.163.com/song?id=32507038,《意外》,294211,大陆
薛之谦,我好像在哪见过你,https://music.163.com/song?id=417859631,《绅士》,300267,大陆
薛之谦,纸船,https://music.163.com/song?id=1442312981,《渡》,148367,大陆
薛之谦,刚刚好,https://music.163.com/song?id=415792881,《蒙面唱将猜猜猜第二季 第11期》,209201,大陆
薛之谦,你还要我怎样,https://music.163.com/song?id=27955653,《渡》,217851,大陆
薛之谦,绅士,https://music.163.com/song?id=32192436,《未完成的歌》,200729,大陆
薛之谦,动物世界,https://music.163.com/song?id=468517654,《意外》,200400,大陆
薛之谦,天后 (Live),https://music.163.com/song?id=519250411,《意外》,2171,大陆
薛之谦,像风一样,https://music.163.com/song?id=516657051,《怪咖》,222251,大陆
薛之谦,认真的雪,https://music.163.com/song?id=169185,《意外》,139429,大陆
薛之谦,方圆几里,https://music.163.com/song?id=27955658,《渡》,101842,大陆
薛之谦,意外,https://music.163.com/song?id=27890306,《怪咖》,136168,大陆
薛之谦,怪咖,https://music.163.com/song?id=574921549,《意外》,110465,大陆
薛之谦,其实,https://music.163.com/song?id=27955654,《怪咖》,178152,大陆
薛之谦,其实,https://music.163.com/song?id=27955654,《怪咖》,178152,大陆
毛不易,消愁,https://music.163.com/song?id=569200213,《平凡的一天》,147123,大陆
毛不易,像我这样的人,https://music.163.com/song?id=569213220,《平凡的一天》,231569,大陆
毛不易,一荤一素,https://music.163.com/song?id=569200212,《平凡的一天》,135282,大陆
毛不易,呓语,https://music.163.com/song?id=1417862046,《小王》,157106,大陆
毛不易,平凡的一天,https://music.163.com/song?id=569214247,《平凡的一天》,145377,大陆
毛不易,给你给我,https://music.163.com/song?id=569200210,《平凡的一天》,122703,大陆
毛不易,借,https://music.163.com/song?id=569214250,《平凡的一天》,125354,大陆
毛不易,不染,https://music.163.com/song?id=536099160,《香蜜沉沉烬如霜 电视原声音乐专辑》,182728,大陆
毛不易,东北民谣,https://music.163.com/song?id=1411558182,《小王》,123912,大陆
毛不易,17,https://music.163.com/song?id=1383923446,《极限17 影视原声专辑》,19901,大陆
毛不易,无问,https://music.163.com/song?id=525278524,《无问》,114647,大陆
毛不易,如果有一天我变得很有钱,https://music.163.com/song?id=569214252,《平凡的一天》,101544,大陆
毛不易,盛夏,https://music.163.com/song?id=569212211,《平凡的一天》,106691,大陆
毛不易,一程山路,https://music.163.com/song?id=1417849873,《小王》,114496,大陆
毛不易,二零三,https://music.163.com/song?id=1407214788,《小王》,123462,大陆
毛不易,别再闹了,https://music.163.com/song?id=1334270281,《别再闹了》,28689,大陆
毛不易,入海,https://music.163.com/song?id=1449782341,《入海》,50960,大陆
毛不易,生活在别处的你 Another me,https://music.163.com/song?id=1860567964,《生活在别处的你 Another me》,56388,大陆
毛不易,感觉自己是巨星,https://music.163.com/song?id=524913480,《感觉自己是巨星》,26825,大陆
毛不易,想你想你,https://music.163.com/song?id=569212210,《平凡的一天》,104074,大陆
邓紫棋,再见,https://music.163.com/song?id=36024806,《新的心跳》,53354,大陆
邓紫棋,光年之外,https://music.163.com/song?id=449818741,《光年之外》,136327,大陆
邓紫棋,泡沫,https://music.163.com/song?id=233931,《Xposed》,28585,大陆
邓紫棋,句号,https://music.163.com/song?id=1405283464,《摩天动物园》,148073,大陆
邓紫棋,倒数,https://music.163.com/song?id=1299550532,《另一个童话》,62025,大陆
邓紫棋,来自天堂的魔鬼,https://music.163.com/song?id=36270426,《新的心跳》,82122,大陆
邓紫棋,喜欢你,https://music.163.com/song?id=28949444,《喜欢你》,42443,大陆
邓紫棋,多远都要在一起,https://music.163.com/song?id=30612793,《新的心跳》,53152,大陆
邓紫棋,画 (Live Piano Session II),https://music.163.com/song?id=412911436,《再见》,73956,大陆
邓紫棋,龙卷风,https://music.163.com/song?id=29450548,《龙卷风》,14219,大陆
邓紫棋,我的秘密,https://music.163.com/song?id=26117675,《My Secret》,2612,大陆
邓紫棋,你把我灌醉,https://music.163.com/song?id=26550057,《The Best of G.E.M. 2008 - 2012 (Deluxe Version)》,8132,大陆
邓紫棋,A.I.N.Y.,https://music.163.com/song?id=26154890,《18 Plus》,1185,大陆
邓紫棋,后会无期,https://music.163.com/song?id=28793502,《后会无期》,42960,大陆
邓紫棋,红蔷薇白玫瑰,https://music.163.com/song?id=420513158,《红蔷薇白玫瑰》,19767,大陆
邓紫棋,孤独,https://music.163.com/song?id=1484967131,《孤独》,52469,大陆
邓紫棋,差不多姑娘,https://music.163.com/song?id=1379444316,《摩天动物园》,24428,大陆
邓紫棋,回忆的沙漏 (国),https://music.163.com/song?id=234066,《G.E.M.》,4861,大陆
邓紫棋,Where Did U Go,https://music.163.com/song?id=234064,《G.E.M.》,8367,大陆
邓紫棋,透明,https://music.163.com/song?id=1412264550,《摩天动物园》,51123,大陆
周深,光亮,https://music.163.com/song?id=1892532629,《光亮》,50113,大陆
周深,大鱼 (Live),https://music.163.com/song?id=1421191783,《歌手·当打之年 第1期》,43812,大陆
周深,起风了,https://music.163.com/song?id=1475596788,《起风了》,75564,大陆
周深,达拉崩吧 (Live),https://music.163.com/song?id=1434062381,《歌手·当打之年 第8期》,227910,大陆
周深,化身孤岛的鲸,https://music.163.com/song?id=1465313631,《化身孤岛的鲸》,107898,大陆
周深,亲爱的旅人啊,https://music.163.com/song?id=1371939273,《亲爱的旅人啊《千与千寻》（Cover 木村弓）》,70681,大陆
周深,望,https://music.163.com/song?id=1814080666,《望》,197824,大陆
周深,大鱼 (唱片版),https://music.163.com/song?id=516823132,《深的深》,12902,大陆
周深,Monsters (Live),https://music.163.com/song?id=1428598981,《歌手·当打之年 第5期》,65100,大陆
周深,漂洋过海来看你,https://music.163.com/song?id=30903117,《漂洋过海来看你》,86980,大陆
周深,千千阙歌 (Live),https://music.163.com/song?id=1446233390,《聚划算55青春选择之夜晚会Live》,35467,大陆
周深,匆匆那年,https://music.163.com/song?id=29759371,《匆匆那年》,12041,大陆
周深,雪花落下,https://music.163.com/song?id=1429392929,《雪花落下》,67367,大陆
周深,灯火里的中国 (舒楠监制 官方正式版),https://music.163.com/song?id=1837528900,《灯火里的中国》,14786,大陆
周深,请笃信一个梦,https://music.163.com/song?id=1416619074,《请笃信一个梦》,51271,大陆
周深,爱若琉璃,https://music.163.com/song?id=1436150979,《爱若琉璃》,49666,大陆
周深,自己按门铃自己听 (Live),https://music.163.com/song?id=1439111144,《歌手·当打之年 第10期》,71254,大陆
周深,云裳羽衣曲,https://music.163.com/song?id=1399132271,《云裳羽衣曲》,18554,大陆
周深,"Baby, До свидания (达尼亚) (Live)",https://music.163.com/song?id=1429908231,《歌手·当打之年 第6期》,52312,大陆
周深,和光同春,https://music.163.com/song?id=1881994402,《和光同春》,51294,大陆
梁静茹,,https://music.163.com/song?id=254485,《勇气》,52783,港台
梁静茹,,https://music.163.com/song?id=254191,《现在开始我爱你》,44278,港台
梁静茹,,https://music.163.com/song?id=254265,《静茹&情歌 别再为他流泪》,12850,港台
梁静茹,勇气,https://music.163.com/song?id=254485,《江苏卫视 2016 跨年演唱会》,52783,港台
梁静茹,会呼吸的痛,https://music.163.com/song?id=254060,《丝路》,321,港台
梁静茹,情歌,https://music.163.com/song?id=254102,《崇拜》,3207,港台
梁静茹,暖暖(Live),https://music.163.com/song?id=399353365,《燕尾蝶》,13198,港台
梁静茹,可惜不是你,https://music.163.com/song?id=254191,《爱久见人心》,44278,港台
梁静茹,给未来的自己,https://music.163.com/song?id=254135,《恋爱的力量》,2558,港台
